,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season,foul_committed_penalty,foul_won_penalty,miscontrol_aerial_won,pass_deflected,50_50,dribble_nutmeg,foul_committed_offensive,injury_stoppage_in_chain,pass_miscommunication,block_offensive,block_save_block,shot_redirect,bad_behaviour_card,goalkeeper_shot_saved_to_post,shot_saved_to_post,shot_open_goal,goalkeeper_shot_saved_off_target,shot_saved_off_target,clearance_other,goalkeeper_punched_out,goalkeeper_success_in_play,dribble_no_touch,half_end_early_video_end,goalkeeper_lost_in_play,goalkeeper_success_out,half_start_late_video_start,shot_follows_dribble,goalkeeper_lost_out,player_off_permanent,goalkeeper_saved_to_post
898,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,eb6057f4-02e3-4814-a487-613c4821cde0,2147,,"[59.3, 62.8]",68354,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,99,Barcelona,217,['f47f911f-f691-4018-b987-8e4277f117d9'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:07.562,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
899,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,b29186ef-e273-4c37-9f21-7bb1356eaed3,2159,,"[106.8, 51.8]",68354,51,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,99,Barcelona,217,['b1f04bac-4711-416c-bb57-af15771abf4b'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:06:15.810,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,2bd05ff3-7e56-448b-bef4-19ab38c4a304,2240,,"[113.3, 49.2]",68354,53,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,103,Barcelona,217,['c88055d4-dfbb-4772-ab00-d1783e21e312'],37,,,,,,,,,,,,,,,,,,Barcelona,217,00:08:37.982,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,645c87d1-cbab-48b1-94ce-127d74ca5a50,616,,"[70.9, 65.2]",68320,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,36,Barcelona,217,['6fade414-3e87-45fa-9b81-fed41a524f45'],44,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:44.655,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,39a9fe90-2635-4756-9385-8760e27a0359,620,,"[77.9, 72.6]",68320,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,36,Barcelona,217,"['8dbd7295-091e-4040-a980-974d75eef1f6', 'b1e1420b-a317-4069-b90d-509865203a10']",46,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:46.642,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,,,5c233d07-b7a5-472f-a427-966bd9949475,625,,"[95.5, 64.6]",68320,16,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,36,Barcelona,217,"['085e6024-473a-4225-b16d-93900e666627', 'dd97b8b1-82c4-4485-8bcb-9a6b30597f69']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:49.989,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,895569d2-a0e8-4a07-8f6f-9f15ecf2009e,974,,"[65.5, 36.0]",68320,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,57,Barcelona,217,"['95089a7e-33da-4ee4-8175-f157cca225f4', 'f1933d6e-a0a8-4812-9de2-c1ab8555b777']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:26:31.536,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,f3d40927-ff19-4c00-bed8-4597bf5feabe,1901,,"[65.8, 76.9]",68320,49,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,115,Barcelona,217,['a7b02102-bde9-42e0-b4a9-0c0986ffaaac'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:04:54.202,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,f25de1dd-fd8b-4069-ae10-d10d385799b9,2134,,"[87.7, 40.1]",68320,56,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,130,Barcelona,217,['33769e78-b7f9-48b1-9795-16a039909dde'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:11:01.593,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,a646ffff-9f4c-4f7c-9182-d5f1de12bfaf,2332,,"[67.5, 71.4]",68320,61,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,145,Barcelona,217,['d4360ac3-19fa-4669-ae7f-fbc8ea08bdc1'],30,,,,,,,,,,,,,,,,,,Barcelona,217,00:16:30.099,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,04e1bde6-5c0a-49ce-8d6d-81be1a2a492e,2599,,"[57.6, 65.7]",68320,68,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,160,Barcelona,217,['c7c367ff-9dbc-4640-a291-d1146daa6170'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:53.098,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,c9ae0eb7-e1df-43a6-81f9-e1d22a88185c,2602,,"[56.2, 62.2]",68320,68,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,160,Barcelona,217,['3311139b-08b5-439d-9be2-f6842a68d638'],54,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:54.126,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,f77da336-ce2f-43c3-816e-aad392a03bc3,2606,,"[85.8, 56.5]",68320,68,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,160,Barcelona,217,"['204fea7c-d873-44a0-a556-90a63977c487', '8ab62192-1763-4539-b07f-f26f3af6ca02']",59,,,,,,,,,,,,,,,,,,Barcelona,217,00:23:59.101,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1258,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,a1521fd4-fec4-4253-b2d2-29a5bc9532c7,959,,"[89.0, 48.2]",68321,20,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,54,Barcelona,217,['c5cf1134-1d65-4e4f-b271-c0f8620654c7'],53,,,,,,,,,,,,,,,,,,Barcelona,217,00:20:53.409,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1259,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,a719e439-d384-47fc-afc7-d819572f2978,1281,,"[100.9, 63.3]",68321,28,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,72,Barcelona,217,['46634d64-1b01-402a-af33-1106b95876eb'],46,,,,,,,,,,,,,,,,,,Barcelona,217,00:28:46.896,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,,,832437b6-a93a-4272-9f52-296d6627a33b,1287,,"[89.4, 65.2]",68321,29,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,73,Barcelona,217,['862ddf16-c1b3-4dfc-9f5b-4da95374f6ad'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:29:05.777,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,81f49fad-b04f-4f02-b51e-b650250973d6,1588,,"[70.9, 26.8]",68321,35,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,88,Barcelona,217,['ef5a8dcd-074e-444e-85b6-e721622744d5'],39,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:39.546,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,79e87cfa-2702-48a3-837f-b9c6e05c5515,1599,,"[100.9, 14.5]",68321,35,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,88,Barcelona,217,"['02cb887e-a7be-4de8-aa34-b404fc9cbdb2', 'dbc2026f-6ed5-497d-99cd-7984222098fc']",49,,,,,,,,,,,,,,,,,,Barcelona,217,00:35:49.072,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,fcf90f0f-e970-4c50-afaa-6e93eed59f88,1656,,"[98.6, 30.5]",68321,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,91,Barcelona,217,['b14a7208-8ca6-44b9-9352-a8092dc6be6e'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:29.997,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1264,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,,,eeed35ac-0ef2-4f3a-b28e-0ea136f1fb55,1660,,"[100.5, 38.6]",68321,37,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,91,Barcelona,217,"['82227d9b-b732-4c3c-b107-9676a465382f', 'f3996d1f-bc9b-4469-83fe-61d4b23c9b07']",30,,,,,,,,,,,,,,,,,,Barcelona,217,00:37:30.957,Dribble,True,2005/2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
